,sha,message,issues,files
40,f9a4c1b4ed4841f37276cc3fb3ba117cb276dd75,Fix first party extension logging incorrect eventName (#165942),,['src/vs/workbench/api/common/extHostTelemetry.ts']
41,96db0b339360bc72d27d869d81a557540ad5f800,Fix the PowerShell integration script #165022 (#165023),,['src/vs/workbench/contrib/terminal/browser/media/shellIntegration.ps1']
42,07a53514726d6e27b869b328a6d569e7764e1e24,Fix #160678 (#165747),,"['src/vs/code/electron-main/app.ts', 'src/vs/platform/debug/electron-main/extensionHostDebugIpc.ts', 'src/vs/platform/launch/electron-main/launchMainService.ts', 'src/vs/platform/userDataProfile/electron-main/userDataProfile.ts', 'src/vs/platform/windows/electron-main/windows.ts', 'src/vs/platform/windows/electron-main/windowsMainService.ts']"
43,2282be522a8031209a739783baede67bfa9fc95a,Fix edit session partial matches (#165782),,['extensions/git/src/editSessionIdentityProvider.ts']
44,3c874be287c8009ccc5c1f29d43871d96ae3ce58,Fix UI string (#165554),,['extensions/typescript-language-features/src/typescriptServiceClient.ts']
45,803161c056037bc86de8ab7ed1ffc4235a45e73a,Fix #165480 (#165486),,['src/vs/workbench/contrib/welcomeGettingStarted/browser/gettingStarted.ts']
46,ed0fd3c9de95df87e84c2c3a61df73c64a6057c1,Fix #165410. No css variables defined at root. (#165519),,"['src/vs/workbench/contrib/notebook/browser/media/notebook.css', 'src/vs/workbench/contrib/notebook/browser/notebookEditorWidget.ts']"
47,5e47d25f80dda7ee83577a5d67b3fd1dfe91675d,Fix typings issues with TestInstantiationService #164297 (#165514),,"['src/vs/workbench/contrib/extensions/test/electron-browser/extensionsActions.test.ts', 'src/vs/workbench/contrib/extensions/test/electron-browser/extensionsViews.test.ts']"
48,708cd91201b87ed04a2c69ad07f914f44cda0d71,Fixes `Terminal: Focus Terminal Tabs view` command not working (#164408),,"['src/vs/workbench/contrib/terminal/browser/terminalGroupService.ts', 'src/vs/workbench/contrib/terminal/browser/terminalView.ts']"
49,1aaf61f6b939b99b71f4213e33c6218e8e5118fa,Fix tasks status incorrect #163393 (#163952),,"['src/vs/workbench/contrib/tasks/browser/taskTerminalStatus.ts', 'src/vs/workbench/contrib/tasks/browser/terminalTaskSystem.ts', 'src/vs/workbench/contrib/tasks/common/tasks.ts']"
