SHA,Message
61532aeb5643822cf46cb8ccf0301024ad4af483,Re-use DisposableStores when rendering explorer items (#163380)
f26411046b004534e737d78fde52617969bf90db,Don't create extra disposable stores when rendering settings tree elements (#163407)
d48368110473ca0ae13262e1bfe3c595357372ec,Update xterm.js
c3aee94a0ea5f7f8f3dea174adc1d6e7e95d7ad1,Update src/vs/workbench/contrib/terminal/browser/terminalInstance.ts
d3e41d26ed97cebec27cbe9ee5be5d2addc413ea,Update xterm.js
643271a4872a41127d89243056ac4643c899cdca,Add test for passing args through
7278d50cc724dede555dbe1fd553da6d1e2500d3,fix treeshaking failure (#162723)
a40b5131a05f12235845126dc0262145c94576ea,track duration of `setContext` API command invocation
9926342f194d51507241ac973306c301c209162f,add completion/failure task audio cues (#162350)
e86e2a11a5bf0eb26ee3251bedc502a92877e3d2,StickyScroll to StickyScrollContext
c2a3e85d3c60870546a7769333cfe66cfb512a85,# Provide correct response to applyEdit()
2b712ceeefc3e46e29dc0f8bb2ab54ccc44652bf,Adding context menu on the sticky line
26ef29d3ce07b104acc8aebd6eceb8bdcea46c42,Unit test failure: TextFileEditorModel save() and isDirty() (fix #161886) (#161891)
3c3556140e949df80e5a4a8febcbbc87f8686ff2,Match quick fix on exit status instead of code
76d2ad1c9a50de9f22675f4c7f8770603d6615fb,fix change short name command title
5b0079af2f9ba363b88563c16bbfdee534514a1e,create events
ca745eea7cb6fd17bb23261ba9344cc018bd0d3d,tests - do not `retryCountOnTaskFailure` playwright (#161299)
a5928232a76a5c5cc57734fe694eca8787b30d78,remove unused interface
b9c29ce94f3aac3279b08afd759e562e44727069,small fixes
8e6e4e91dcee8cb9cb2f8a951354fbd16591af5e,Cleanup
770e4402f9b6234eac287f39f0265c106ed1b1e1,cleanup
70043b14b59cfd27a4e1d910b5104a054a8325da,fix terminal contribution schema
ea7afaee0a8814e329492106e485644f40a1ed45,Reapply https://github.com/microsoft/vscode-distro/pull/456
5aed6e0532efeacd0234e28b73da7f3bb74663b3,added tests
387bdee1251ef4865e41330ab105506997ddc950,cleanup
b78276bd0f74828c8f5e622a499c10544ab65dcc,xterm@5.0.0-beta.60
20527c05a3eae9c96e3992b467eb7625d3b957cf,move `SnippetTextEdit` into vscode-dts
5e2825730ec276ae3f862aef494117c0518dde79,add one more API todo tag
7466145baee381e899c71bb9d85f0b08a8adaf84,also set COOP and COEP from webview protocol handler
968d9eda2c8f4a871377e88a58a1803b665aea6f,Integration test failure: openTextDocument
1cf4216a101dcc18e3811aa0e94bb5b841ab44d3,unsuccessful attempt to enable COI for desktop webviews
e19f431845cbf5451a6450de6ebb391cd3661316,Extracts menu toolbar logic.
238b15f0f4f46834a259f40983e2d05db8dde6f5,Polish label computer
3cbfc6fd98336735ba1499031941ffe9e8ef04f9,Enable edit sessions by default in insiders
e3fb1dd152c29cd1db365b31e80b14f8f2e916c2,Improve filePattern to reduce some irrelevant matches
02d073fa45eefbd8dbfad7f1a105599ffdd43234,Remove unnecessary file pattern
43ae67e42ee425e69ccc29eff95fd62a91c352c0,Keep dialog open after user clicks on install link
44261c904cd892657bfd26232293a25a874f2013,Match SimpleFindWidget behavior with editor FindWidget behavior
8533550d9139da2064244a2965b7eb09785404f0,Remove
1a3639ebe5d5aea4bbb109d58923ac295ad9b36f,Changes from review
